reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,"capacity_total (mcm, 10^6 m^3)","dead_storage (mcm, 10^6 m^3)","frl (normal pool level, NPL m)",dam_height (m),crest_length (m),crest_elevation (m),catchment (sq.km),source_agency,source_url,last_updated
MY_MYWATER_JPS_ANAK_ENDAU,ANAK ENDAU,ANAK ENDAU,Malaysia,Pahang,,,,,38.00,,19.00,18.00,700.00,23.00,36.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_BATU,BATU,BATU,Malaysia,Selangor,,,,,36.60,,102.70,44.00,550.00,109.00,50.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_BEKOK,BEKOK,BEKOK,Malaysia,Johor,,,,,32.00,,16.00,20.30,3460.00,23.00,326.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_BERIS,BERIS,BERIS,Malaysia,Kedah,,,,,122.40,,84.00,40.00,155.00,88.00,116.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_BUKIT_KWONG,BUKIT KWONG,BUKIT KWONG,Malaysia,Kelantan,,,,,14.30,,16.76,7.62,1524.00,18.29,11.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_BUKIT_MERAH,BUKIT MERAH,BUKIT MERAH,Malaysia,Perak,,,,,74.98,,8.70,9.10,579.00,11.28,480.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_GOPENG,GOPENG,GOPENG,Malaysia,Perak,,,,,0,,0,8.54,85.00,70.71,0,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_LABONG,LABONG,LABONG,Malaysia,Johor,,,,,12.80,,19.00,10.67,259.00,10.67,16.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_MACHAP,MACHAP,MACHAP,Malaysia,Johor,,,,,30.60,,15.85,11.50,550.00,19.81,77.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_PADANG_SAGA,PADANG SAGA,PADANG SAGA,Malaysia,Kedah,,,,,0.20,,21.18,8.30,61.00,23.01,12.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_PERTING,PERTING,PERTING,Malaysia,Pahang,,,,,0.00,,0.00,21.50,139.00,118.00,125.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_PONTIAN,PONTIAN,PONTIAN,Malaysia,Pahang,,,,,40.00,,5.00,15.50,350.00,7.50,170.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_REPAS_BARU,REPAS BARU,REPAS BARU,Malaysia,Pahang,,,,,0.40,,126.22,20.00,40.00,128.96,11.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_REPAS_LAMA,REPAS LAMA,REPAS LAMA,Malaysia,Pahang,,,,,0.00,,0.00,13.40,210.00,143.29,10.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_SEMBRONG,SEMBRONG,SEMBRONG,Malaysia,Johor,,,,,18.00,,8.50,11.00,1770.00,15.00,130.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
MY_MYWATER_JPS_TIMAH_TASOH,TIMAH TASOH,TIMAH TASOH,Malaysia,Perlis,,,,,40.00,,29.10,17.30,3455.00,32.00,191.00,JPS (via MyWater Portal),https://mywater.gov.my/portal/Modules/SumberAir/Empangan.aspx?Q=4RRbFpCg0pU%3D,2026-04-21 21:51:58
