reservoir_id,reservoir_name,lat,lon,coord_source
10201,石門水庫,24.80634,121.30606,ressub:石門水庫
10203,西勢水庫,25.08534,121.73503,ressub:西勢水庫
10204,新山水庫,25.12902,121.70751,ressub:新山水庫
10205,翡翠水庫,24.91343,121.62903,ressub:翡翠水庫
10206,榮華壩,24.73062,121.35604,ressub:榮華壩
10211,青潭堰,24.94035,121.54211,ressub:青潭壩
10212,直潭壩,24.92431,121.53288,ressub:直潭壩
10401,寶山水庫,24.74569,121.04836,ressub:寶山水庫
10405,寶山第二水庫,24.72795,121.05568,ressub:寶山第二水庫
10501,永和山水庫,24.65342,120.92479,ressub:永和山水庫
10503,大埔水庫,24.68826,120.99899,ressub:大埔水庫
10601,明德水庫,24.58744,120.90363,ressub:明德水庫
10802,羅東攔河堰,24.70234,121.75317,ressub:羅東攔河堰
20101,鯉魚潭水庫,24.34867,120.81946,ressub:鯉魚潭水庫
20201,德基水庫,24.27104,121.21228,ressub:德基水庫
20202,石岡壩,24.28297,120.77691,ressub:石岡壩
20405,士林攔河堰,24.34727,120.93865,ressub:士林攔河堰
20501,霧社水庫,24.00109,121.14036,ressub:霧社水庫
20502,日月潭水庫,23.8523,120.92125,ressub:日月潭水庫
20503,集集攔河堰,23.81625,120.77344,ressub:集集攔河堰
20507,武界壩,23.91559,121.06072,ressub:武界壩水庫
20508,明湖下池水庫,23.86358,120.87096,ressub:明湖下池水庫
20509,湖山水庫,23.69046,120.62704,ressub:湖山水庫
30301,仁義潭水庫,23.46699,120.51187,ressub:仁義潭水庫
30302,蘭潭水庫,23.47175,120.48393,ressub:蘭潭水庫
30306,內埔子水庫,23.53344,120.49488,ressub:內埔子水庫
30401,白河水庫,23.35914,120.48216,ressub:白河水庫
30403,德元埤水庫,23.26858,120.34638,ressub:德元埤水庫
30501,烏山頭水庫,23.2087,120.42861,ressub:烏山頭水庫
30502,曾文水庫,23.27858,120.58407,ressub:曾文水庫
30503,南化水庫,23.11271,120.55612,ressub:南化水庫
30504,鏡面水庫,23.05908,120.49151,ressub:鏡面水庫
30601,虎頭埤水庫,23.02804,120.34407,ressub:虎頭埤水庫
30602,鹽水埤水庫,23.04175,120.34151,ressub:鹽水埤水庫
30801,澄清湖水庫,22.66063,120.35013,ressub:澄清湖水庫
30802,阿公店水庫,22.81979,120.3628,ressub:阿公店水庫
31002,甲仙攔河堰,23.08513,120.58365,ressub:甲仙攔河堰
31201,牡丹水庫,22.14308,120.78623,ressub:牡丹水庫
31301,成功水庫,23.57436,119.62333,ressub:成功水庫
50102,興仁水庫,23.55092,119.60775,ressub:興仁水庫
50103,東衛水庫,23.56683,119.5974,ressub:東衛水庫
50104,赤崁地下水庫,23.66719,119.5874,ressub:赤崁地下水庫
50105,西安水庫,23.36516,119.49749,ressub:西安水庫
50106,七美水庫,23.21229,119.43502,ressub:七美水庫
50108,小池水庫,23.60989,119.51004,ressub:小池水庫
50109,烏溝蓄水塘,23.36707,119.53628,ressub:烏溝水庫
50201,太湖水庫,24.4397,118.4245,ressub:太湖水庫
50202,田埔水庫,24.4763,118.45673,ressub:田浦水庫
50203,陽明湖水庫,24.46006,118.43092,ressub:陽明湖水庫
50204,山西水庫,24.5058,118.42824,ressub:山西水庫
50205,榮湖水庫,24.48625,118.41264,ressub:榮湖水庫
50206,擎天水庫,24.46154,118.39527,ressub:擎天水庫
50207,金沙水庫,24.4907,118.40396,ressub:金沙水庫
50208,蓮湖水庫,24.44901,118.24848,ressub:蓮湖水庫
50209,菱湖水庫,24.44701,118.24448,ressub:菱湖水庫
50210,西湖水庫,24.43493,118.23139,ressub:西湖水庫
50212,金湖水庫,24.4341,118.45828,ressub:金湖水庫
50213,瓊林水庫,24.44852,118.37083,ressub:瓊林水庫
50214,蘭湖,24.45199,118.38257,ressub:蘭湖水庫
50301,勝利水庫,26.15183,119.93541,ressub:勝利水庫
50305,儲水沃水庫,26.1534,119.91723,ressub:儲水沃水庫
50306,津沙水庫,26.14518,119.91572,ressub:津沙水庫
50307,津沙一號水庫,26.14859,119.91488,ressub:津沙一號水庫
50308,坂里水庫,26.22133,119.97422,ressub:板里水庫
50309,東湧水庫,26.36918,120.49281,ressub:東湧水庫
50310,后沃水庫,26.16104,119.92246,ressub:后沃水庫
20203,谷關水庫,24.23658,121.08197,ressub:谷關水庫
30303,鹿寮溪水庫,23.39098,120.48335,ressub:鹿寮溪水庫
30402,尖山埤水庫,23.26026,120.39597,ressub:尖山埤水庫
30803,鳳山水庫,22.54148,120.3896,ressub:鳳山水庫
30901,高屏溪攔河堰,22.70123,120.44668,ressub:高屏溪攔河堰水庫
50302,秋桂山水庫,26.16746,119.92459,ressub:秋桂山水庫
